procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1     60 156764  73836 1726192    0    0    10    49    1    1 32 15 51  3  0
 3  0     60 153380  73844 1726232    0    0     0   560 2018 12408 11 21 55 13  0
 2  0     60 151012  73892 1726228    0    0    88     0 1950 7103 23 23 52  2  0
 1  1     60 152020  73920 1726340    0    0    44   736 1989 6668 27 22 43  8  0
 2  0     60 147956  73976 1726380    0    0   124    12 2061 7044 29 23 47  1  0
 1  1     60 145848  74340 1726680    0    0   440     0 2002 6458 21 21 47 12  0
 1  1     60 144696  75172 1726748    0    0  1060   260 1909 6852  7 21 46 26  0
 2  2     60 143420  75616 1727392    0    0  1128     0 2081 7161  8 20 47 25  0
 1  1     60 141732  75852 1727752    0    0   752  1736 2020 10402 18 21 31 29  0
 1  2     60 137152  76096 1728600    0    0   748  1244 2230 7073  8 21 33 38  0
 1  2     60 135784  76276 1729184    0    0   752   744 2050 7196  9 20 33 38  0
 3  2     60 134464  76468 1729892    0    0   652   716 1792 6452  8 21 30 41  0
 1  1     60 136792  76584 1730256    0    0   612   744 2077 6633  8 20 35 37  0
 1  1     60 136564  76680 1730492    0    0   920     0 2183 6267  7 21 48 24  0
 1  1     60 136108  76740 1731196    0    0   768   224 1798 5545  7 20 44 29  0
 1  1     60 135300  76760 1732328    0    0   884     0 1870 6063  7 20 47 26  0
 1  2     60 134372  76792 1732948    0    0   848     0 1823 5613  7 20 47 25  0
 5  2     60 126580  76816 1733712    0    0   528  2496 2260 6573  9 21 35 35  0
 1  4     60 125640  76856 1734464    0    0   688   756 1979 6960  8 20 26 47  0
 1  1     60 127700  76860 1734856    0    0   624   400 2242 6762  9 20 34 37  0
 1  2     60 127972  76880 1735540    0    0   644  1440 2127 6965  9 20 41 31  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2     60 124068  76904 1730952    0    0   740   180 1912 12378 11 23 17 49  0
 2  3     60 125128  76916 1723488    0    0   612  1904 1902 7462 29 22 18 32  0
 1  1     60 130676  77708 1724704    0    0  1948  1092 2551 9327 24 23 19 33  0
 1  1     60 140972  77732 1725236    0    0   600   688 2040 7683  8 21 34 38  0
 5  1     60 140108  77736 1726388    0    0   996     0 2067 5843  8 20 45 28  0
 1  2     60 136236  77736 1727432    0    0   936   152 2116 6996  8 21 45 25  0
 1  2     60 135500  77752 1727864    0    0   548  1700 2156 7756  9 20 29 42  0
 1  2     60 137896  77764 1729100    0    0   924   376 2013 8131  8 20 40 32  0
