procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1     60 136152  77764 1729844    0    0   896     8 1924 7694  8 21 47 24  0
 3  1     60 134732  77776 1731060    0    0  1016   292 2023 12539  9 22 41 28  0
 3  1     60 134192  77804 1731504    0    0   780     0 2069 6412  9 20 37 34  0
 1  2     60 133352  77828 1732376    0    0   852   264 2096 6168  8 20 34 39  0
 1  1     60 132968  77868 1733012    0    0   444  2524 2037 6102  9 19 32 39  0
 1  2     60 132416  77900 1733572    0    0   592    96 2179 6835  8 20 43 29  0
 2  2     60 131176  77924 1735372    0    0   572  1624 2274 7110  9 21 38 33  0
 1  1     60 130648  77928 1735104    0    0   888     0 2022 7374 10 21 43 26  0
 1  1     60 129600  77928 1735996    0    0   864     0 2324 9153  9 21 46 24  0
 1  1     60 126060  77940 1736856    0    0   804     0 1898 9605 11 23 38 28  0
 1  2     60 126056  77948 1736908    0    0    88  1240 2137 7603  8 20 42 30  0
 1  1     60 126056  77948 1736940    0    0     0   768 1917 6443  8 19 38 35  0
 4  5     60 127872  77956 1737652    0    0   680   316 2911 9530  7 20 25 49  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1     60 127200  77972 1737880    0    0   512  2024 1851 6748  8 22 31 40  0
 1  2     60 126424  77980 1739076    0    0   800   608 1888 6845  8 20 43 30  0
 1  1     60 125604  77980 1739840    0    0   752     0 1818 7394  8 20 39 33  0
 2  2     60 124704  77980 1740740    0    0   900   364 2140 7807  8 20 48 24  0
 2  2     60 124092  77988 1741436    0    0   596  1744 1910 7753  7 20 39 34  0
 1  1     60 123232  77988 1742296    0    0   896     0 2138 7687  8 20 44 28  0
 1  1     60 122556  77988 1743040    0    0   780    64 2041 6754  7 20 48 24  0
 1  1     60 121552  77988 1744004    0    0   908     0 1965 6973  8 21 48 23  0
 1  2     60 125768  77988 1739708    0    0   952   192 2316 7821  8 20 48 24  0
 2  1     60 125212  78024 1740416    0    0   672  1792 1912 11364  9 21 34 36  0
 2  1     60 124608  78024 1741404    0    0   876     0 2250 12914 10 22 43 25  0
 1  1     60 123956  78024 1742424    0    0   772    76 2183 7470  9 20 48 24  0
 1  1     60 122816  78028 1743400    0    0  1020     0 2260 7996  9 21 44 27  0
 2  2     60 122052  78048 1744392    0    0   952   668 2288 8179  8 20 39 34  0
 1  4     60 121452  78064 1744924    0    0   436  2352 1995 6529  8 20 40 32  0
 1  1     60 126104  78072 1740264    0    0   772   512 1996 7251  7 20 37 35  0
 1  1     60 125056  78076 1741332    0    0   788    32 2161 6676  9 20 46 25  0
 1  2     60 123920  78084 1742136    0    0   884     0 2050 6088  7 21 46 26  0
 2  1     60 122892  78084 1743200    0    0   892     0 2113 7177  8 20 42 29  0
 1  2     60 125308  78080 1738812    0    0   804   528 2381 9635 10 23 42 25  0
 1  4     60 124964  78096 1739460    0    0   604  2112 2073 6682  7 21 30 42  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1     60 123972  78108 1739984    0    0   688   744 2336 7356  9 21 36 35  0
 1  1     60 123040  78108 1741088    0    0  1012     0 2292 6887  8 20 48 24  0
 1  1     60 122544  78108 1742180    0    0   988     0 2430 7569  9 20 47 25  0
 2  1     60 121452  78124 1743344    0    0  1024   260 2308 7279  8 20 42 31  0
 1  2     60 126388  78112 1738500    0    0   928   240 2448 7706  9 20 47 24  0
 1  1     60 125912  78120 1739224    0    0   536  1940 2409 12803  9 21 40 31  0
 1  2     60 122152  78128 1739568    0    0   832   108 2364 6883 10 21 43 26  0
 1  2     60 121352  78152 1739776    0    0   552  1908 2125 7202  8 19 34 39  0
 1  2     60 125504  78168 1734960    0    0   612   952 2383 7367  8 21 34 36  0
 1  3     60 121576  78180 1735756    0    0   744   416 2344 7605  9 20 30 42  0
 1  2     60 129896  78204 1730744    0    0   520  1252 2085 7388  8 20 33 40  0
 1  1     60 132032  78220 1731504    0    0   824   452 2070 7088  8 20 41 31  0
 1  1     60 131556  78220 1732404    0    0   856     0 2185 7771  8 20 48 23  0
 1  1     60 130364  78220 1733460    0    0  1048     0 2333 7946  8 20 48 24  0
 1  1     60 129900  78220 1734276    0    0   936     0 2560 7468  9 19 49 24  0
 2  2     60 129540  78224 1735124    0    0   660   972 2326 8216 16 21 34 29  0
 2  6     60 129508  78224 1735208    0    0   196   484 2336 7164 22 19 21 37  0
 2  4     60 122676  78224 1735536    0    0   396   288 2361 6881 33 21  1 45  0
 2  2     60 122036  78224 1736400    0    0   492    52 2397 7045 32 20  3 45  0
 4  2     60 125256  78244 1731428    0    0   500  2176 2522 11889 34 22 14 30  0
 2  2     60 124612  78252 1732244    0    0   596  1744 2476 7222 34 22 10 34  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2     60 122864  78276 1722248    0    0   552  1348 2270 6917 35 22 11 33  0
 4  1     60 121708  78292 1723208    0    0   820   324 2342 7035 32 21 18 29  0
 2  2     60 132604  78296 1718696    0    0   676  1300 2658 7793 34 20 15 31  0
 4  1     60 133560  78316 1719556    0    0   736   624 2276 15635 39 21 16 24  0
 2  3     60 129940  78340 1720284    0    0   504  1600 2271 8842 41 23  9 27  0
 3  3     60 125696  78384 1720604    0    0   360  3388 2060 8076 36 24 13 27  0
