procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0     60 139784  86032 1725564    0    0    10    49    1    1 32 15 51  3  0
 1  2     60 136560  86060 1725576    0    0    36   560 2304 7572 10 21 51 20  0
 1  0     60 135444  86120 1725644    0    0   120   372 1805 6906 10 20 61 10  0
 2  0     60 135324  86144 1725872    0    0   100   440 1672 6706  7 21 64  8  0
 2  0     60 135388  86160 1725976    0    0    28     0 2100 7051 13 20 65  1  0
 4  1     60 132432  86176 1726044    0    0    76   444 2066 10376 35 21 40  3  0
 4  0     60 135760  86204 1726132    0    0    20   636 1746 10802 34 21 36  9  0
 2  0     60 139348  86232 1726192    0    0    16   440 2048 5859 33 21 35 11  0
 4  0     60 139424  86236 1726228    0    0     8     0 2006 5630 33 20 46  0  0
 4  0     60 139540  86260 1726244    0    0    68   620 2010 5966 34 21 35 11  0
 6  0     60 139500  86280 1726404    0    0     0   328 1742 6022 33 21 40  6  0
 6  0     60 139524  86280 1726004    0    0     4     0 2048 6081 34 21 46  0  0
 3  0     60 139424  86280 1725868    0    0     0     0 1842 6513 33 21 46  0  0
 4  0     60 139688  86320 1726360    0    0   148   924 2192 6343 35 21 28 16  0
 2  0     60 139500  86348 1726360    0    0     8   284 1855 6070 33 20 39  7  0
 5  0     60 135608  86380 1726396    0    0     0   612 1949 5636 37 21 34  9  0
 3  1     60 135484  86380 1726456    0    0     0   152 1947 6696 41 21 34  4  0
 2  0     60 138792  86436 1726580    0    0    68  1164 2184 7645 10 21 52 17  0
 1  0     60 139004  86436 1726628    0    0     0     0 1923 8454  7 21 72  0  0
 2  0     60 139128  86448 1726648    0    0     4   252 1785 7449  7 20 68  4  0
 1  0     60 140028  86480 1726756    0    0    60   968 2157 6688 10 21 63  7  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0     60 139872  86480 1726796    0    0     4     0 1875 5823  7 20 73  0  0
 1  0     60 139588  86480 1726812    0    0     4     0 1980 6666  8 19 72  0  0
 1  0     60 138812  86480 1726828    0    0     4     0 1777 6281 20 21 59  0  0
 2  0     60 137004  86484 1726952    0    0    76     0 1778 6676  9 21 69  0  0
 1  0     60 138108  86496 1727004    0    0    12  1712 2025 7150  9 21 60 11  0
 2  0     60 138080  86496 1727044    0    0     4     0 1881 6674  8 20 72  0  0
 2  0     60 137972  86496 1727228    0    0    68     0 1662 6068  8 21 71  1  0
 1  0     60 137836  86496 1727280    0    0     4     0 1770 5668  8 20 72  0  0
 1  1     60 133988  86504 1727296    0    0     0   372 1823 11701 10 21 67  2  0
 4  3     60 137212  86552 1727480    0    0    68  1628 2140 9623 11 22 45 23  0
 2  0     60 137352  86552 1727604    0    0    64  1396 3391 10596  8 20 34 38  0
 1  0     60 137080  86560 1727668    0    0    64     0 2131 7529 10 21 65  4  0
 1  0     60 137228  86604 1727720    0    0     0  1184 2173 6846  9 21 56 15  0
 1  0     60 135108  86616 1727780    0    0     4   268 2178 11655 10 21 68  1  0
 3  0     60 136876  86632 1727804    0    0     4   648 1854 6519  9 20 59 12  0
 1  0     60 139376  86632 1728116    0    0    68     0 1786 9036 10 22 69  1  0
 1  1     60 136612  86648 1728136    0    0     0   684 1786 6271  8 21 65  6  0
 1  0     60 139380  86688 1728188    0    0     4   416 1820 6625  8 21 60 11  0
 1  0     60 139448  86692 1728212    0    0    68     0 1421 6243  7 20 72  1  0
 1  0     60 139388  86692 1728300    0    0     0    12 1797 6868  8 20 72  0  0
 1  0     60 139388  86692 1728316    0    0     0     0 1842 6816  9 19 72  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0     60 138936  86716 1728320    0    0    68   568 1990 6354  9 21 58 13  0
 1  0     60 139016  86716 1728484    0    0     8     0 1856 5759  8 21 72  0  0
 2  0     60 139016  86716 1728508    0    0     0     0 1984 6405  9 20 71  0  0
 1  0     60 139024  86724 1728524    0    0     4   316 2166 6103  9 20 69  2  0
 2  0     60 139024  86724 1728544    0    0     0     0 1858 5697  9 20 72  0  0
 1  1     60 139024  86732 1728552    0    0     4   496 2087 6630  8 20 61 11  0
 2  1     60 137296  86740 1728580    0    0     8   380 1847 6433  8 21 67  4  0
 1  0     60 136744  86804 1728572    0    0     4   624 2050 8091 10 22 55 14  0
 1  0     60 137064  86812 1728672    0    0     8   120 2226 8827  9 21 67  4  0
 2  0     60 133020  86812 1728924    0    0    68     0 2033 7763 13 20 66  1  0
 3  0     60 132740  86816 1728968    0    0    80     0 1829 14617 41 20 39  1  0
 4  0     60 132476  86820 1729236    0    0   140     0 1662 13778 42 21 37  1  0
 3  1     60 128752  86820 1729280    0    0     0   488 1574 12746 41 21 32  6  0
 4  0     60 135180  86848 1729288    0    0    44   740 1919 10467 28 22 44  6  0
 2  0     60 135404  86872 1729408    0    0     4   416 1880 5982  8 21 63  9  0
 2  2     60 124660  86888 1729436    0    0     8   584 1729 5565  9 21 63  8  0
 2  0     60 136180  86888 1723920    0    0   132   364 1858 6575  9 22 55 14  0
 5  0     60 132144  86936 1724020    0    0    68   656 2008 9695 10 22 54 14  0
