procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1     60 131180  94568 1679880    0    0    10    49    1    1 32 15 51  3  0
 2  1     60 125800  94684 1680144    0    0     0  2272 1925 7435 34 22 25 19  0
 2  1     60 125288  94800 1680196    0    0    16  1120 1830 6720 29 21 28 21  0
 4  2     60 167768  94900 1680324    0    0   128  9160 2146 7646 19 28 35 18  0
 2  1     60 163508  94976 1680560    0    0   140  5156 1957 11918 19 32 28 21  0
 2  1     60 158216  95064 1680640    0    0     0  1364 1944 6497 22 24 33 22  0
 4  1     60 154176  95112 1680724    0    0     0  1080 1653 5299 51 23 20  7  0
 2  1     60 160552  95192 1680736    0    0     0   948 2079 6815 34 21 24 21  0
 2  1     60 157496  95308 1680732    0    0     0  1852 1720 5881 30 21 28 22  0
 3  1     60 152100  95416 1680812    0    0    76  1436 1976 5937 33 22 22 23  0
 2  1     60 142640  95556 1680844    0    0     0  1024 1879 6161 34 21 23 23  0
 2  1     60 161664  95652 1681612    0    0     8  1572 2036 5216 38 20 16 26  0
 2  1     60 147308  95720 1681052    0    0    64  1116 2027 5965 32 22 24 21  0
 2  1     60 146880  95832 1681144    0    0    60   880 1838 13181 34 23 19 24  0
 3  1     60 152264  95936 1681296    0    0   124  1196 1882 11227 35 23 21 22  0
 3  1     60 147460  96044 1681412    0    0    64  1104 1731 5458 32 21 25 22  0
 2  1     60 144252  96164 1681436    0    0     0   960 1830 7202 33 21 28 19  0
 2  1     60 132596  96260 1681328    0    0     0  1072 1689 6781 32 21 25 21  0
 6  1     60 135968  96368 1681020    0    0     0  1200 1841 10952 32 22 24 21  0
 4  1     60 152964  96468 1681932    0    0     4  2300 2062 14365 34 24 23 19  0
 2  1     60 150192  96564 1681956    0    0    76  2192 2225 7659 51 21 10 18  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1     60 138936  96664 1681052    0    0     0  1056 1842 5571 33 21 24 24  0
 2  2     60 134340  96716 1681040    0    0     0  3524 2064 5708 33 21 16 31  0
 2  2     60 133452  96716 1681080    0    0     0   992 1909 5439 32 20  2 46  0
 2  3     60 128616  96724 1681084    0    0     0   940 2028 5746 32 20 21 27  0
 2  3     60 124524  93340 1669932    0    0    12   948 1836 6006 35 22 20 23  0
 5  1     60 133520  93400 1670020    0    0     8  1048 1927 6107 34 21 23 23  0
 3  1     60 132620  93508 1670024    0    0     0  1000 2033 7323 33 19 25 23  0
 2  1     60 131220  93648 1670148    0    0    68  1128 1850 6112 32 20 25 23  0
 2  1     60 129856  93800 1670132    0    0     0  1112 2077 7123 32 21 24 23  0
 2  1     60 139076  93904 1670184    0    0     0   972 2170 6909 35 20 23 23  0
 2  2     60 134708  94092 1670272    0    0     0  1068 1723 6094 35 20 21 24  0
 2  2     60 180768  94164 1670356    0    0     0  1280 2083 7029 31 21 13 34  0
 2  1     60 179356  94248 1670316    0    0     4  5036 2188 6989 14 35 26 25  0
 1  2     60 179480  94308 1670360    0    0     0  1640 1954 6490 18 22 35 24  0
 1  2     60 179748  94420 1670336    0    0     0  1408 1943 6575 19 21 37 24  0
 3  1     60 175280  94496 1670580    0    0    68  1416 1858 6809 18 22 33 27  0
 2  2     60 179544  94548 1670632    0    0     0  1256 1854 7195 18 23 32 28  0
 1  2     60 179148  94616 1670632    0    0     4  1328 1767 6091 19 21 35 26  0
 3  1     60 179716  94692 1670648    0    0   128  1396 1880 7063 18 22 31 29  0
 2  1     60 178692  94784 1670768    0    0     0  1356 2071 7509 26 24 31 19  0
 2  1     60 176988  94852 1670784    0    0     4  1316 1779 5737 30 22 25 23  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1     60 168844  94952 1671508    0    0     0   956 1988 5883 32 21 24 23  0
 2  1     60 175188  95080 1670876    0    0     0  1492 1938 7659 33 21 25 22  0
 4  1     60 159704  95136 1670944    0    0     0  2044 1809 17346 34 24 24 18  0
 2  1     60 165748  95240 1670980    0    0     0  1328 2011 7290 34 22 23 22  0
 2  1     60 170236  95368 1671572    0    0     0  1708 2089 6417 33 20 24 23  0
 2  1     60 167560  95436 1670992    0    0     4  1192 1976 7634 31 21 25 24  0
 2  1     60 160316  95588 1670984    0    0     0  1072 1976 6853 37 20 23 20  0
 2  1     60 160108  95732 1671044    0    0     4  1412 2206 8793 33 20 26 21  0
 2  1     60 160684  95820 1671232    0    0     0  2216 2027 7452 30 23 24 23  0
 2  1     60 156756  95936 1671120    0    0     0  1032 2064 7199 34 20 26 21  0
 2  2     60 191696  93988 1646696    0    0     4  1108 2494 10399 41 25 23 11  0
 2  1     60 189164  94092 1646776    0    0    68  1624 1970 8903 33 21 23 23  0
 2  0     60 189220  94192 1646820    0    0     4   928 1970 8676 33 20 24 22  0
 2  0     60 191832  94232 1647864    0    0     4  1628 1950 7469 33 21 38  8  0
 2  1     60 173656  94260 1647012    0    0     4   484 1676 5463 34 21 36 10  0
 2  0     60 174892  94280 1647016    0    0     0   840 1842 6314 33 20 38  8  0
 2  0     60 174176  94280 1647048    0    0     0     0 1667 6427 33 19 48  0  0
 2  2     60 165948  94296 1647048    0    0     4   416 1832 6384 34 20 42  4  0
 3  0     60 172720  94320 1647136    0    0     0   328 1683 5549 32 20 40  8  0
 2  1     60 167400  94328 1647152    0    0     0   712 1673 6913 34 22 41  2  0
