procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2     60 160416 153992 1529056    0    0    10    49    1    0 32 15 51  3  0
 4  1     60 163432 154024 1529224    0    0     0  1456 1942 6796 12 22 43 22  0
 1  3     60 162732 154040 1529376    0    0     0  1148 2116 6500 13 22 43 22  0
 1  1     60 163704 154060 1529468    0    0     0  1132 2115 6519 13 22 44 21  0
 3  0     60 192372 154092 1529648    0    0     0  1112 2037 6234 13 22 44 21  0
 2  1     60 209628 154104 1529800    0    0     4  1336 1715 5647 12 21 50 17  0
 1  1     60 213216 154124 1529940    0    0     0  1488 1911 6955 17 24 41 19  0
 1  1     60 205312 154140 1529952    0    0     0  1032 2029 6576 11 21 46 23  0
 1  1     60 227664 154168 1530040    0    0     0  1064 2191 7645 13 23 46 19  0
 1  1     60 211020 154188 1530128    0    0     0   800 2073 6146 10 21 54 14  0
 1  1     60 183028 154208 1530160    0    0     0  1204 1847 6127 15 21 48 16  0
 1  2     60 178528 154224 1530260    0    0     0  1064 1986 7021 12 22 44 23  0
 1  1     60 163644 154256 1530352    0    0     4   964 2042 5798 12 22 46 20  0
 1  3     60 159320 154260 1530452    0    0     0  1644 1994 6731  8 20 30 42  0
 1  3     60 159268 154264 1530476    0    0     4   564 2394 7806  8 20 30 41  0
 3  1     60 162544 154276 1530516    0    0     4   960 1991 6601 10 21 46 23  0
 1  1     60 158960 154284 1530620    0    0     0   828 1985 7089 10 21 51 17  0
 1  1     60 158528 154312 1530688    0    0     0  1040 2197 7797 11 21 48 20  0
 1  1     60 158004 154324 1530772    0    0     4   624 1964 6667  9 20 60 11  0
 1  0     60 158048 154336 1530908    0    0     0   900 2236 7791 11 22 52 15  0
 1  1     60 157500 154340 1530976    0    0     0   668 1947 6017  9 22 56 13  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0     60 156316 154368 1531964    0    0    64  1916 1992 6712 11 22 43 24  0
 1  1     60 155336 154388 1532104    0    0     8   916 2013 6647 11 22 47 21  0
 1  2     60 153668 154420 1532244    0    0    64  1116 2125 6453 11 21 46 22  0
 2  1     60 153996 154456 1532416    0    0     0  1152 2396 7401 15 24 40 21  0
 1  1     60 153100 154464 1532656    0    0    60  1280 2160 6524 13 22 41 24  0
 2  1     60 153308 154472 1532828    0    0     0  1180 2135 7954 14 24 41 21  0
 1  0     60 152900 154496 1533028    0    0   136   784 2029 12247 12 23 49 16  0
 1  1     60 153692 154512 1533196    0    0     0  1200 1982 7107 14 24 46 16  0
 1  1     60 169660 154536 1533404    0    0    68  1296 2037 10585 13 23 40 24  0
 1  1     60 157716 154560 1533680    0    0    64  1224 2122 7089 13 22 40 26  0
 1  3     60 153052 154584 1533932    0    0    72  1100 1883 7170 13 22 43 24  0
 3  1     60 160584 154624 1523764    0    0    64  1180 2058 7067 11 22 43 24  0
 1  3     60 162712 154624 1523988    0    0     0  1100 2036 6887 11 23 34 32  0
 2  1     60 163232 154632 1524052    0    0     0   916 1884 6130 29 21 26 24  0
 2  1     60 162716 154648 1524144    0    0     0  1420 1995 6732 22 24 32 21  0
 2  0     60 162460 154652 1524292    0    0    64   448 1696 6856 34 21 35 10  0
 2  1     60 163436 154660 1524340    0    0     0  1048 1922 5775 36 21 25 18  0
 1  0     60 162428 154672 1523900    0    0     0   880 2027 6710 25 21 40 15  0
 1  1     60 161956 154684 1523976    0    0     0   892 1828 6743  9 21 52 17  0
 1  1     60 161784 154696 1524116    0    0     0  1124 1868 6212 13 21 45 21  0
 1  1     60 161924 154716 1524196    0    0     0   712 1944 5884 10 21 55 15  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1     60 161004 154724 1524628    0    0    64  1048 1856 5886 10 21 50 19  0
 1  1     60 160240 154772 1524656    0    0     0  1032 1844 6417  9 22 47 23  0
 1  0     60 159912 154772 1524784    0    0    64   192 1788 6509  8 20 66  6  0
 1  1     60 160336 154796 1524912    0    0    12  1008 1828 6073 11 21 48 20  0
 2  1     60 161652 154816 1525048    0    0     0  1148 1786 6575 13 23 43 22  0
 1  0     60 159048 154840 1525208    0    0     0   680 1712 6719  9 21 57 13  0
 1  4     60 158948 154844 1525236    0    0     0  1380 1880 7560  8 20 19 53  0
 1  1     60 159024 154852 1525248    0    0     4   656 2039 7278  9 20 29 42  0
 1  0     60 161860 154880 1525460    0    0     0   996 1807 6917 13 22 45 20  0
 1  1     60 158180 154892 1525512    0    0     4   788 1954 7233 10 20 56 15  0
 3  0     60 156956 154892 1525572    0    0     0   192 1626 10854 11 23 61  5  0
 6  1     60 161004 154912 1525648    0    0     0  1100 2052 6194 13 21 43 22  0
 1  1     60 160708 154932 1525812    0    0     4  1228 2094 9658 16 24 36 24  0
 2  1     60 156420 154952 1525908    0    0     0   872 1964 6914 10 21 53 16  0
 1  1     60 158196 154980 1526096    0    0     0  1280 2200 6751 13 23 43 21  0
 1  0     60 151636 155000 1526188    0    0     0  1400 2201 16322 21 24 43 12  0
 4  0     60 156396 155016 1526440    0    0    68  1152 2108 6539 11 21 49 19  0
 1  0     60 155800 155032 1526540    0    0     0   324 1826 10798 10 21 63  7  0
 2  1     60 157428 155048 1526544    0    0     4   604 1816 5608  9 20 63  8  0
